section_url,section_id,section_name,tag_name,tag_id,tag_url
https://dxy.com/diseases/6948,6948,儿科,婴儿湿疹,839,
https://dxy.com/diseases/6948,6948,儿科,小儿鼻炎,7145,
https://dxy.com/diseases/6948,6948,儿科,新生儿黄疸,6653,
https://dxy.com/diseases/6948,6948,儿科,小儿腹泻,7189,
https://dxy.com/diseases/6948,6948,儿科,新生儿肺炎,6971,
https://dxy.com/diseases/6948,6948,儿科,鼻炎,1999,
https://dxy.com/diseases/6948,6948,儿科,手足口病,8363,
https://dxy.com/diseases/6948,6948,儿科,痱子,234,
https://dxy.com/diseases/6948,6948,儿科,抽动障碍,3369,
https://dxy.com/diseases/6948,6948,儿科,Apgar 评分,28746,
https://dxy.com/diseases/6948,6948,儿科,矮小症,6830,
https://dxy.com/diseases/6948,6948,儿科,Bartter 综合征,1794,
https://dxy.com/diseases/6948,6948,儿科,宝宝 B 超,28750,
https://dxy.com/diseases/6948,6948,儿科,宝宝 DHA,25596,
https://dxy.com/diseases/6948,6948,儿科,宝宝爱抠鼻孔,28749,
https://dxy.com/diseases/6948,6948,儿科,宝宝便便发白,28765,
https://dxy.com/diseases/6948,6948,儿科,宝宝白癜风,28748,
https://dxy.com/diseases/6948,6948,儿科,宝宝不放屁,28775,
https://dxy.com/diseases/6948,6948,儿科,宝宝不会笑,28868,
https://dxy.com/diseases/6948,6948,儿科,宝宝不会追视,28898,
https://dxy.com/diseases/6948,6948,儿科,宝宝包茎,28806,
https://dxy.com/diseases/6948,6948,儿科,宝宝吧唧嘴,28747,
https://dxy.com/diseases/6948,6948,儿科,宝宝鼻泪管堵塞,28839,
https://dxy.com/diseases/6948,6948,儿科,宝宝鼻梁有青筋,28896,
https://dxy.com/diseases/6948,6948,儿科,宝宝鼻梁有折痕,28767,
https://dxy.com/diseases/6948,6948,儿科,宝宝保暖,25589,
https://dxy.com/diseases/6948,6948,儿科,宝宝包皮包茎,28793,
https://dxy.com/diseases/6948,6948,儿科,宝宝包皮过长,28783,
https://dxy.com/diseases/6948,6948,儿科,宝宝憋气,28842,
https://dxy.com/diseases/6948,6948,儿科,宝宝百日咳,28740,
https://dxy.com/diseases/6948,6948,儿科,宝宝鼻头泛红,28797,
https://dxy.com/diseases/6948,6948,儿科,宝宝扁桃体炎,28909,
https://dxy.com/diseases/6948,6948,儿科,宝宝鼻涕中有血丝,28826,
https://dxy.com/diseases/6948,6948,儿科,宝宝龅牙,28755,
https://dxy.com/diseases/6948,6948,儿科,宝宝脖子发黑,28880,
https://dxy.com/diseases/6948,6948,儿科,宝宝脖子鼓包,28829,
https://dxy.com/diseases/6948,6948,儿科,宝宝脖子过软,28818,
https://dxy.com/diseases/6948,6948,儿科,宝宝鼻周起黄痂,28821,
https://dxy.com/diseases/6948,6948,儿科,宝宝鼻子塌,28887,
https://dxy.com/diseases/6948,6948,儿科,宝宝鼻子脱皮起屑,28841,
https://dxy.com/diseases/6948,6948,儿科,宝宝脖子长红疹,28878,
https://dxy.com/diseases/6948,6948,儿科,宝宝蚕豆病,28816,
https://dxy.com/diseases/6948,6948,儿科,宝宝肠道病毒感染,28804,
https://dxy.com/diseases/6948,6948,儿科,宝宝垂耳,28857,
https://dxy.com/diseases/6948,6948,儿科,宝宝肠梗阻,28762,
https://dxy.com/diseases/6948,6948,儿科,宝宝出汗有异味,28780,
https://dxy.com/diseases/6948,6948,儿科,宝宝吃脚,28761,
https://dxy.com/diseases/6948,6948,儿科,宝宝吹空调,25574,
https://dxy.com/diseases/6948,6948,儿科,宝宝吃了就拉,28779,
https://dxy.com/diseases/6948,6948,儿科,宝宝肠鸣音,28865,
https://dxy.com/diseases/6948,6948,儿科,宝宝传染性红斑,28871,
https://dxy.com/diseases/6948,6948,儿科,宝宝传染性软疣,28854,
https://dxy.com/diseases/6948,6948,儿科,宝宝吃手,26113,
https://dxy.com/diseases/6948,6948,儿科,宝宝吃什么拉什么,28798,
https://dxy.com/diseases/6948,6948,儿科,宝宝朝天鼻,28817,
https://dxy.com/diseases/6948,6948,儿科,宝宝吃盐,25592,
https://dxy.com/diseases/6948,6948,儿科,宝宝虫咬性皮炎,28835,
https://dxy.com/diseases/6948,6948,儿科,宝宝大便常规,28753,
https://dxy.com/diseases/6948,6948,儿科,宝宝大便发灰,28834,
https://dxy.com/diseases/6948,6948,儿科,宝宝大便发黑,28861,
https://dxy.com/diseases/6948,6948,儿科,宝宝大便发绿,28881,
https://dxy.com/diseases/6948,6948,儿科,宝宝蛋白尿,28819,
